phrase,context,sentiment
blend reasonably well,Love the colors in this sponge set sponge texture is light metal holder is great. This is a lovely set of three sponges in nice colors of  pink  burgundy  and teal. It also comes with a great metal sponge holder  a silicone brush cleaner  and some cleaning solution. The sponges are light and airy like most sponges like this on the market.   The burgundy sponge with the flat side is great for smooth applications. The typical egg-shaped (teal) and the hour-glass (pink) sponges are good for blending or any large make-up application. The hour-glass one is easy to hold in the center.  These feel good in the hands  blend reasonably well  and feel soft against my skin. These blenders make a great gift for the make-up obsessed. I love that the sponges do not smell. I tried other colored sponges and they smell like pencil shavings or other chemicals and these do not.  I personally do not use a silicone sponge cleaner. I prefer to use my hands and soap and water but having the silicone cleaner with cleaning solution provided is a nice touch.  The sponges themselves are similar in style to all of the others that I tried before this. To me what set of sponges to buy all comes down to the price and the angles one wants on the sponges as well as whether it is for gifting or not. The colors are important too--at least to me.   The current price of $7.99 is a great deal for this.,1
not exactly essential,Single disc version of John Denver's Wildlife Concert. Half-of his double-disc Wildlife Concert release  The Best of John Denver Live is a bit of a misnomer.  There are a lot of hits in the 16-song track list  yes.  But a lot of well-known Denver favorites are missing and replaced with less essential deep cuts.  Docked one star for that slight.  Quibbling  I know.  Regardless  it's a nicely packaged representation of the late singer / songwriter's concert program  played by an exceptional band and sung by a late-career John Denver in very good voice  indeed.  Produced for disc by Bob Irwin  who does his usual masterful job.  Not exactly essential  but definitely recommended.,0
recycle our newspapers and other paper materials,Useful product. We use these to recycle our newspapers and other paper materials.  Very useful to have around for us. Good service from seller.,1
guitar couldn't be played as-is,1 star for guitar  5 stars for Amazon. I was excited to purchase this guitar as a family gift for Christmas. There are several good reviews for it on Amazon and other sites  so I felt hopeful. Unfortunately  when we brought this guitar to a friend to be tuned  he pointed out a few things that totally escaped my amateur eyes - namely  the bridge was cracked  and one of the strings was strung improperly and played with a noticeable hum. We had it taken to a professional guitar shop  where we were told he could make it &#34playable&#34 for about $30  but it would never be top quality. Since the guitar couldn't be played as-is  we returned it as a defective item to Amazon. I'll think more about how much I want to invest in a guitar and go with some more professional opinions in the future.  IMPORTANT to note: the return process with Amazon was insanely easy. I followed the prompts on the website to return the item  printed out the appropriate form  repackaged everything  and Amazon sent UPS to come pick it up at my house  complete with a free return shipping label included! Now *that* is how you keep customers!!,0
confusing,Liked it a lot. Samantha  a nurse is kidnapped by an FBI agent on the run with a young boy. She ends up going on the run with them and helps him to discover who wanted them dead. A lot of suspense  a good plot and decently written. A few misspelled words and bouncing between POV's without warning was confusing. Also  too many scenes were neatly explained away and too many simple daily functions were never included which took away the believability of the story. Aside from that I adored the family dynamic and the happily ever after.,0
perfect as a teether,"Excellent infant teether with gum massaging nubs drop resistant. There is one BPA-free silicone teether in this package. The silicone is super soft. I consider this cute and engaging. This is easy for the baby to grab and hold onto. It has no sharp edges or parts that can fall off. This is perfect as a teether and is one solid piece. I also love that the ears have nubs which act as a gum massaging / tooth cleaning ""tool."" As is typical  always supervise when the baby is using this. This is rated for 0 to 12 months.  This is made in China. The current price of $6.29 ($6.99 minus 10%) is competitively priced for this. Overall  I consider this a great teether that is drop resistant and small enough for newborns. I had given one like this to my neighbor's infant and he absolutely loved it.",1
flamingo print,Great product. I buy a blueberry brand collar with a new tag for my sons 9 pound dog every Christmas.  Bought the flamingo print for Christmas 2019. No problems so far and has held up like all the previous ones I’ve purchased.,1
absorbent,Pampers are great diapers!. These diapers are great.  They are absorbent and lightly scented.  I've had no problems with leaking.,1
nice stones,Pretty Bracelets. These are pretty bracelets. There are 7 identical bracelets and then 7 unique ones. They have a good stretch to them so they can fit a variety of wrist sizes. They are pretty and have nice stones. These would be perfect for goody bags!,1
Must have,Awesome Funko Pops. Still waiting to receive this but I had to...Boba Fett and Carbonite Han. Must have!,1
leaves skin feeling soft,Softest hands ever  lightly scented w/ lemongrass oil  lemon oil  orange oil  rosemary. I love Leap bar soaps (LOVE!)  and was curious about their liquid hand soap. It is a 12 ounce pump style bottle with visually pleasing label. The soap comes out thick and rich. It is super luxurious feeling- it lathers significantly all the while feeling like hand cream. It rinses well and leaves skin feeling soft. Probably the most soft. Perhaps a little coating of glycerin and aloe are left behind? Yet not a gross coating.  I am trying to figure out the magic of my soft  smooth  clean feeling hands on a super cold (18*F)  dry day. Super moisturizing.  Oddly  I find it has barely any scent. I am used to their super scented bar soaps  and I was expecting a stronger scent to come through. I am not usually keen on perfume (causes headaches  nausea)  but when a product uses essential oils for scenting (especially hand soap and house cleaners)  I find it delightfully uplifting. This is labeled as lemongrass  but that isn't the only essential oil used. The profile is more complex with the addition of lemon oil  orange oil  and rosemary. I was really excited for this to have a robust citrus smell. I really couldn't tell you just by sniffing. It smells fresh and clean  but it isn't strong (and I was hoping/expecting strong). I see other reviewers mentioning a strong smell. I figured I got a weird bottle or I have covid. I actually went and grabbed my Leap bar soap to make sure I could still smell that. I can. Phew.  I'm still going 5 stars because it does have a mild fresh scent  and the soap itself is glorious. Very rich  super moisturizing lather. And it rinses away perfectly. I dont feel like I am working to get the soap off. If it did  I wouldn't like that. So there is some sorcery involved here  lol. I kinda want it as a body wash. My hands feel SO GOOD after using this. I just keep touching my hands.  One does not need a lot of soap  so feel free to just add a little to the hand. I would even go so far as to add a little water as it goes down. Or if you like this soap and have a foamer  then just a wee bit of this with a lot of water will do it.  Love their designs on the bottles.  Water  Organic Coconut Oil  Organic Olive Oil  Vegetable Glycerin  Organic Guar Gum  Lemongrass Oil  Orange Oil  Organic Jojoba Oil  Lemon Oil  Rosemary Extract  Organic Aloe Vera (Potassium Hydroxide is used to saponify the organic oils into soap  but none remains in the final product),1
hair is smooth and silky,Another great Amazon Solimo brand!. I try to get keratin treatments to keep my hair smoother and minimize frizz several times a year. When I do  I have to always use shampoos that are paraben and sulfate free. And  you guess it  the shampoos are usually more expensive than regular shampoos. When I saw this Amazon brand shampoo I wanted to try it. Usually  Solimo products are just as good as named brand varieties. This shampoo did not disappoint! After using this shampoo for almost a month now  several times a week  my hair is smooth and silky and is just as good as shampoos I have spent three times more for. I also love this coconut fragrance  too! Highly recommend this quality shampoo for all hair types  but particularly for those who want their hair shiny  frizz free and smelling great!,1
chunky relish,deli style (chunky) relish. This is really hard to find locally.  I purchase this  the sweet and the dill.  I like it because it's chunkier  bigger than the fine grind on other brands.  It also tastes better to me (of course that's personal opinion).  I wish I could get it locally  but Amazon is always my 'deliver to you door' backup.  I never hesitate to update my reviews should any new info seem useful.,1
takes a little longer to use,Love it! No chemicals needed!. I love my Bissell Steam Mop.  Easy to put together  just fill and use.  I hate string mops. I feel like I'm just smearing the dirt to new places no matter how well I wash out the mop.  To me  it takes a little longer to use this mop than others but I think it's well worth it because it's sanitizing the floor as I mop.  A swiffer would work similar but only for quick clean up.  This is a no chemical  steam clean.  I would let a baby play on my floor after using this  but not after using a string  sponge or a swiffer mop. They just don't clean good enough. If you have a tough spot  just let the steamer sit on it for a few seconds. It'll clean up all of the goo.  I recommend buying extra cleaning cloths so you can just change them out as they get dirty.  No pushing dirt around. Toss the cloths in the washer and you're done.  No putting your hands in dirty water or on disposable cloths filled with chemicals.,1
cleans the bottom of the bowl better,Small But Powerful. These brushes are actually smaller than the normal brushes  and I have discovered that their smaller size cleans the bottom of the bowl better.,1
elastic band keeps tools in place,hard shell travel case for hair tools. Got this to &#34house&#34 a small roller type stick and flat iron.. a couple of rat tail combs and a small can of hairspray for my Mom's short hair.  It fits nicely under her sink and is easy to grab. It fits the standard length instruments perfectly. It's lined with a soft  fuzzy material - an elastic band on side keeps your tools in place and the other side has a handy mesh flap perfect for combs  etc. I great zipper keeps everything where it needs to be and then... a super handy handle.  I am very  very happy with this purchase as it fit my needs so well.  I will  of course  update my review should new info seem useful.,1
purchasing more,Wow - really works!!. This is amazing!!! Will be purchasing more when needed,1
Fits the wellie wish dolls ok,Three Stars. Fits the wellie wish dolls ok. Kinda big on the straps and tight to get on,1
hung it up in my hallway,"Beautiful  well boxed/protected and arrived in PERFECT condition.. My handy man hung it up in my hallway yesterday and it's BEAUTIFUL! Exactly as I pictured. Just inside the front door  it's the perfect place for a jacket  the dog's leash and even my small ""walking"" purse. Beautiful!",1
handle is about two inches shorter than I would like,Good  hefty brush but short handle massaging side not useful to me. I tried several brushes over the last several months and love the KOZIS Wooden Bath Brush (Amazon item # B08HR2GBHC) the best. However  this one is very good too.  The brush head side is ample for good coverage. The bristles are of medium softness. The massaging side is not useful to me because I have no desire to use that. In fact  I do not even understand why anyone would use that.   The brush is hefty and is one solid piece  which is fabulous as the head cannot fall off the handle like some other brushes I tried previously. It also has a rope loop to hang up in the shower. In addition  a self-stick hook is supplied if needed but I did not use it.  Besides the massaging brush head that I find useless  the only negative to me is that the brush handle is about two inches shorter than I would like. Many brushes have a longer handle and a longer handle is best when trying to reach my back. Nevertheless  this is still very functional and it is very well made.  Overall  I like this brush even though it comes in second to the KOZIS I love. The current price of $11.99 is about right for a two-sided wooden brush.,0
Asian-inspired dishes,“There is nothing like the comfort found in bringing it home.”. Susie Fishbein’s bestselling series “Kosher By Design” goes out with a bang with the final ninth volume “Kosher By Design Brings It Home.” Inspired by Susie’s travels to France  Italy  Mexico  Israel  and North America  you’ll find kosher versions of favorites such as Korean short ribs  lasagna bolognaise  and shoyu tamago ramen (which normally has a pork-based broth here in Japan).  I have several kosher cookbooks that I cook from regularly (Including The Joy of Kosher and “The New Kosher”)  but this was my first experience with the “Kosher By Design” series.  The menu leans most heavily towards Israeli and Italian dishes  including staples like arancini (fried stuffed risotto)   ravioli  Tuscan bean and farro soup  veal scallopini  brachiole  (fried) pizza Napolitana  ragu Napolitano  and lasagna  but you’ll also find Asian-inspired dishes (short ribs  spicy kim chee hangar steaks   ramen  chicken adobo) and Latin flair in the form of chicken flautas  ceviche  and pulled beef tacos.  The salads and dairy / fish sections were particular favorites of mine. I love light  refreshing salads for nearly every meal  and the Israeli-inspired salads here are perfect for hot  hazy days when you don’t feel like spending hours at the stove. I loved the Provencal wheatberry salad  Lumina market salad  Carmel Spa pomegranate almond salad (I use pomegranate molasses as a salad dressing and was happy to see it in a recipe!)  kale squash Caesar salad  root vegetable apple salad  and Chedva’s warm French potato salad was a revelation: baby potatoes  haricots verts  and a tangy white wine-herb dressing made this memorable (to make it dairy  you can add crumbled feta while warm).  Poultry includes rosemary lavender chicken  Amalfi sage chicken  and mustard caper chicken  and the meat dishes include various roasts  grills  and stews: pumpkin braised short ribs are perfect for fall  while the lamb cholent “cassoulet” reminded me of my trip to France’s Perigord in 2012. Dairy dishes include decadent bread pudding  farroto  pasta frittata  and risotto  while the fish dishes really shone: I loved the silan-glazed salmon (see photo) and the showstopping citrus-glazed salmon  layered with rows of perfectly symmetrical cucumber slices atop a citrus mayo. I also enjoyed trying my hand at the khachapuri shakshuka having taught many students from Georgia  I’d long heard of the magic of khachapuri but had never tried making it before. Susie’s clear instructions (and the easy shakshuka topping save the extra for omelettes and scrambled eggs!) make this a winner for breakfast or brunch.  Vegetarians have many options in the sides chapter  including a beautiful (and deceptively simple) eggplant and tomato tart (see photo)  tershi and couscous (I’m a fan of all things pumpkin and had not heard / tried this amazing Libyan Jewish dish before)  sweet potato wontons with teriyaki dipping sauce  chestnut tomato quinoa  and freekeh pilaf. Desserts are sure to tempt with a delightfully sweet/tart lemon tiramisu  Beresheet Spa Kanafe  banana  date  and pecan cake  almond bobka ring  halvah baklava  and fudgy New Fishbein Brownies punched up with espresso powder. Recipes are clearly labeled as meat  dairy or pareve (with some having multiple options depending on dairy-free substitutions) using color-coded icons. Note that some spellings use the Hebrew / Ashkenazi variations (chummos for hummus  seviche for ceviche  bobka for babka  etc.). I love that the font is a little larger and easily readable from several feet away as I tend to cook using a cookbook holder (and the ingredients are handily in bold). Each recipe comes with a full-page photo by John Uher showcasing each dish. The recipes (main dishes in particular) tend to be more elegant / upscale than some of my other kosher cookbooks (dishes like dried fruit and quinoa stuffed capons  turkey breast with hoisin tangerine glaze  and pumpkin braised short ribs would all make wonderful holiday centerpieces)  but there are also plenty of recipes that come together quickly for weeknight meals (the eggplant and tomato tart  fish dishes  and veggie sides).  Overall  “Kosher by Design Brings It Home” is a wonderful finale to Susie’s best-selling series (with nearly 500 000 books sold) and a great way to taste the world from the comfort of your (kosher) kitchen Susie’s headnotes introduce the reader to places and people she’s encountered on her fifteen-year culinary journey spanning several continents and multiple food traditions  from Italian nonnas to Yemenite family recipes passed down across generations. But at the end of the day  in Susie’s words  “there is nothing like the comfort found in bringing it home.”  (Thank you to the Trina Kaye Organization for the review copy!),1
imagination this author has,Awesome. Tucker's Way was an absolutely awesome read --- what a woman(Tucker)  what an imagination this author has!  Can't wait to see what else he has waiting for me.  Definitely recommend this book !!!,1
more for a child’s face,Very small.. I was looking forward to receiving these brackets.  But  they are too small to use.  I do not have a broad face  big nose  chin  or big head.  These do not cover my nose and chin at the same time.  They are more for a child’s face.  It’s too much of a bother to send them back so I’ll be giving them to my son for the grandchildren. I have 3 different cloth masks and they don’t work with any of them.  They move around  possibly because they’re so small.  Also  being silicon  I expected them to be at least a bit softer but they are hard.  Very disappointed.,0
quality,Does the job intended with style... For a price point under $20- this is a top that can actually do its job and provide ample coverage as a base layer.. But  the shirt is multifaceted and can also be used as a light pullover to lend a layer of protection from the sun..  if going casual- this even has the ability to stand alone on its own!  Material feels nice and soft with a small stretchable quality.. although a synthetic  this has a breathable lightness to it. Seams are stitched straight and on point- no loose threads. Ordered in light gray it has a small dime size “logo” imprinted on the chest (ours is in the same color as the shirt..) almost unnoticeable except for it’s silver sheen. Both the length in sleeve and torso- are comparable to U.S. sizing chart. A nice solid fit thru the body which is helped in part by the elastin stretch the fabric provides- it eliminates the appearance of a square boxier cut + feel for those with slender builds.. and yet  this has room to fit and forgive a bit without looking seer-sucking! (I included photos of fabric of close  logo  seams + shirts cut.. in case it helps!?)  For reference: My son is- 6’4”  187lb  33x36  active but  not super athletic build..18yr. caught between a man/boy body! This shirt nicely drapes his silhouette vs. hangs on his body type. *Note: neck opening is a tad wider at the shoulder points which is different then usual round opening (in womens style this is referenced as a “boat neck” Im not sure if it was just us who noticed this anomaly.. but  something to take notice of. Not a deal breaker just creates a slightly different finished look.  For an unknown brand this has the quality and ability to do its job at a solid price. An item that can find its way into your wardrobe in 3 if not all 4 seasons and has the quality to hold up as long. Hoping this info can help your decision- stay safe!,1
case is not very protective,"Not very protective - More for style. Got this Verso for my new 7"" HD Fire. I found the color bright and a really neon green  probably a little 'too bright' for a 50 something year old woman. I honestly think this color (and I assume the alternate pink as well) is better suited for teenagers. The case is thin and not very protective  though  so I think the idea of giving this to a teenager there may be better (more protective) alternatives. I would say go ahead and spen another $10 and get one of the better cases and skip the style/fashion side of a case for your Kindle.",0
size smaller than expected,Beautiful Quality Pearl  But A Little Smaller Than Same Size Class From Same Company. I have always wanted to have a pearl necklace.  Although it is not my usual style  I thought I would try one out.  The problem is that I did not have any earrings appropriate to wear with it.  That is where these came in.  HOW THESE ARE PACKAGED This is a beautiful set very appropriate for gift giving.  It comes in a cardboard sheath.  Inside there is a very beautiful blue box with a nice expensive looking finish on it.  Inside the box there is a plastic bag with a pair of earrings  silicone backs on them  extra backs  a white velvet bag  and a cleaning cloth.  QUALITY The earring pearls are beautiful in tone and quality.  They are shiny as you can see from the photo.  The camera reflection is showing on the pearl.  The tone of the pearl is what I call a rose taupe tint to it.  It is very slight  but it is warm and beautiful.  SIZE The size of these is not quite as big as I hoped it would be.  My necklace is from the same company and the color matches perfectly   but the size although listed as the same is bigger on the necklace.  Nevertheless  it looks good together and I am happy with it.  THE BOTTOM LINE This set of earrings is really nice.  It is good quality  well packaged  and a decent price.  MY RATING FIVE STARS.  Although I wish they were just a tiny bit larger  I still like them very much and the color is stunning.,0
potential for another title,Lots of Loose Ends are Finally Wrapped Up!. I have been waiting for the latest in the Body Movers series for a while. It was a super fast read. It was a little unrealistic at times  but I found it engaging and entertaining. Most importantly  it wraps up a lot of (if not all) of the loose ends. If this is the last in the series  then I feel satisfied. There's still potential for another title though.,1
So cute,Five Stars. So cute! Looks exactly as pictured. Fit on my 4&#34 round cake perfectly,1
aimed more at the novice cook,Beautiful cookbook  but aimed more at the novice cook. Naturally I'm familiar with Mary Berry from her role as host on the Great British Bake-Off (I've followed the careers of several of the alumni including Edd Kimber  Ruby Tanoh  and Nadiya Hussein)  but this was the first time I'd had the chance to peruse one of her many cookbooks. A legend in British culinary circles  Mary has published more than 75 cookbooks.  In &#34Cooking with Mary Berry &#34 she presents beautifully photographed dishes that lean towards the basic (pizza tartlets  nachos  hummus)  with a dash of well-known European dishes (coq au vin  chicken cordon bleu  boeuf bourguignon  mushroom stroganoff) and quite a few international influences in the form of Mexican / Tex-Mex (mole  shrimp tacos)  Asian  and even Indian and Middle Eastern (including vegetarian dishes such as falafel).  As Mary states in the introduction  her recipes have to meet three criteria: look good  taste good  and be practical to make. Her step-by-step technique photographs would be tremendously helpful for those new to the kitchen  and the limited number of ingredients make this a perfect cookbook for a student going off to college  for example. More experienced chefs will already know all of these tips and tricks  but it's nice to have a reminder from time to time! Some of the vegetarian dishes and sides appealed to me  although the recipes not surprisingly feature meat and seafood quite heavily. I'm also interested in trying Mary's breads and baked goods as that is what she is primarily known for.  This would make a great gift for a budding chef in your life  or if you have basic cooking skills and are interested in trying more adventurous international dishes.,0
stacking cookies,Must have  so handy!. I’m so happy I ordered these for all of the holiday care packages  easy clean-up  and stacking cookies!,1
comes off easily with my makeup wipes,Excellent variety pack of shadows!. Nice variety pack of eyeshadows. I love the muted neutral colors  go perfect with almost anything I wear. Also like the fact that these would make an excellent gift as well with the packaging. Colors last a super long time. When I apply in the morning (super easy to apply)  it remains all day and comes off easily with my makeup wipes at night. Highly recommend!,1
crunchy texture,"Awesome slime.. This kit has everything you need for a fun afternoon of slime making.  Except glue  but you can use any school glue. The crunchy one is cool because it really does"" pop"" when you squeeze it lol. The sparkly one has 2 bottles to make. They are a sparkly glitter and looks best with clear glue. We made it with white and clear glue. Both came out great. So nice to get a product that actually works like they promise.",1
cheap product,Don’t buy this product. This is a cheap product. It was broken right out of the case,0
wraps up a lot of (if not all) of the loose ends,Lots of Loose Ends are Finally Wrapped Up!. I have been waiting for the latest in the Body Movers series for a while. It was a super fast read. It was a little unrealistic at times  but I found it engaging and entertaining. Most importantly  it wraps up a lot of (if not all) of the loose ends. If this is the last in the series  then I feel satisfied. There's still potential for another title though.,1
undetectable in the water,Nice.. Clear and undetectable in the water. Strong and doesnt tangle too easy.,1
easy to fill and use with your trays,diamond drill organizers. I usually have several projects going at one time.  These boxes are a life saver to me as I can load them - I number the boxes with the color legend and makes it so easy!  They are easy to fill and use with your trays. They stay closed - so far anyway and I've used them over and over. Having said that.. I never hesitate to update my reviews should new info seem useful. At this point  I would purchase these again if I needed more.,1
hand scrubber poof,great self care set  fine quality  no issues  gift worthy items. Gift worthy set-comes with long back length silicone scrubber  a hand scrubber poof  a shower cap  and a set of hooks. All packed into a small box. Would make for a great stocking stuffer or as part of a themed self care gift.  I may pick up another set for this reason.  Everything is of good quality. I am extra impressed with the hand scrubber loofah/poof. It is rather robust. The longer silicone scrubber takes some getting used to. I have really come around to silicone scrubbers  as they just seem more hygienic to me. And even if you dont use bath wash on it (I often soap up my body  then run this over it)  it is lovely on the skin. Gentle  but effective. The shower cap is a nice addition. Use it in or out of shower.  No problems with this set. I think it is a great bundle of shower items. If I experience anything else  I will be back to update .,1
quality,Great fit. Perfect fit and perfect quality.,1
fun suspenseful and at time sexy read,I loved the whole series of Mudbug. I loved the whole series of Mudbug..Helena the ghost keeps this one funny with all the things happening to her as she &quotlearns&quot how to be a ghost.Each book tells you about the life and antics of one main character but it also combines the other ones with the new..the lives all intertwine and thtas what makes this a fun suspenseful and at time sexy read...It gets your heart pumping even just after you have laughted your a - - off lol..Going to read more from this author !!!,1
very durable but flexible,great case. LOVE this case!! I love the way this case feels and it’s very durable but flexible!,1
tough cleansing project,Bar Keepers friend. I prefer the liquid Bar Keepers and it's hard to get locally  so I order it.  It works really great on toilet rings!  And any other really tough cleansing project. I never hesitate to update my reviews should new info seem useful. All my reviews reflect my honest  personal experience with the reviewed item - your experience may be different.  I receive/accept NO free products or discounts that are not available to all shoppers.,1
disappointing,Don't bother. Bypass this option for an American company version. It was very disappointing  inaccurately described  and no full refund on returns.,0
plays it all the time,greatest hits. Bought it as a gift for my mother for Christmas  it was a big hit. She loves it and plays it all the time,1
one half has the seed,Comfortable and cute. When I wear these avocado earrings with my avocado dress I get many compliments.  I like that one half has the seed  which you can see in my  side view pic   and one is hollowed.  Very comfortable  light  don’t even feel them.  Very happy with the colors too.,1
Darren comes into his own as a solo artist on TDTWM,"Darren truly comes into his own as a solo artist on TDTWM. Darren Hayes  former multiplatinum-selling frontman for Aussie duo Savage Garden ([[ASIN:B000BUXUUG Truly  Madly  Completely- The Best of Savage Garden]])  has come into his own on This Delicate Thing We've Made. It's been a whirlwind few years for Hayes: on his third solo album after [[ASIN:B0000630UH Spin]] (2002) and [[ASIN:B0002QCBE0 The Tension And The Spark]] (2005)  Darren parted ways with Sony  started his own label Powdered Sugar  and married his partner Richard Cullen in a civil ceremony in London.  As one review rightly pointed out  if Hayes was still attached to Sony / Columbia  no megaconglomerate record company would have ever financed anything as ambitious and hard to categorize as This Delicate Thing We've Made. Spanning 25 tracks on 2 CDs  the album is all over the place sonically in a tribute to some of Darren's idols  including Prince  Michael Jackson  and Kate Bush  and the authentic retro vibe is courtesy of a 1983 Fairlight CMI syth. Darren's earlier collaborations with Robert Conley on Spin (Crush (1980 Me) and Tension and the Spark continue on TDTWM  along with Justin Shave as producer (Justin played keyboards on Darren's Big Night In tour).  Even though there is a unifying theme of time travel  Darren's bouncing off the sonic walls  from funk to electro to boy band to uniquely Darren. Unexpected samples (barking dogs  airplanes  horses) crop up in the middle of songs  and two songs (Conversations with God and Neverland) strongly remind me of Tori Amos-influenced Casey Stratton ([[ASIN:B00016XO56 Standing at the Edge]])  who shares the same soaring falsetto and sense of lyrical drama.  My main issue is the balance between uptempo flirtations with electronica (club hit Step Into the Light  Casey  Listen All You People  Me  Myself  and I) and slower ballads  which make up most of the second disc. I feel that TDTWM lacks the overall cohesiveness of Tension and the Spark  and I find myself skipping over a few of the tracks (the aforementioned Bombs Up In My Face and the dark  gritty Setting Sun). However  TDTWM grows on me with each successive listen. It's such a nuanced  complex work that multiple listens are required to do Darren's creative vision justice. As with previous releases  there are several B-sides available exclusively  on the TDTWM singles [[ASIN:B000SFYGXY On the Verge of Something Wonderful]]  [[ASIN:B000SFZ05M On the Verge of Something Wonderful  Vol. 2]]  and [[ASIN:B000SN3VNM On the Verge of Something Wonderful]]: Step Into the Light remixes  Fallen Angel  and I Just Want You To Love Me  as well as a ""bootleg"" digital single available on Darren's official website (www dot darrenhayes.dloadshop.com/shop.asp?arid=2 ) that features God Is In The Room and Ocean.  Kudos to Darren for the creative  pass-the-good-karma origami bird marketing that ties in with TDTWM's theme. He encourages fans to print an origami bird  write a wish or note (world peace  happiness  someone loves you  etc.)  fold it  and leave it in a public place for others to find. If you find a bird  you can upload its location and a photo to neonbird dot com/something-wonderful",1
Easy to work with,Quality thick velvet yarn. Easy to work with and maintain even sides.  Did not need a border to have neat edges.  This is my favorite weight velvet yarn.,1
price goes up,Getting costly. I purchased these in June at a cost of $32. Now they're $34. They are nice plates  but not when the price goes up.,0
wetness indicator,Cute & Absorbent!. These diapers are not only cute  but absorbent  too! I love the little otter designs! The wetness indicator works well. There's a yellow stripe in the center of the diaper and when wet  it changes to blue. The stripe is along most of the length so it doesn't matter if it's worn by a boy or girl. The Velcro tabs are strong and stay in place well. The legs are gathered to help prevent leakage. I'm glad to see the that no chlorine bleach was used in the manufacturing process.,1
cheap material,Cheap cheap cheap cheap material. This does not look as full and vibrant as the picture! This is poorly constructed and entirely not flattering to anybody type! The material is so thin that you can see right through it and the feel of it just makes you break out in a rash just by looking at it before you even put it on. This is grotesque and if you cannot pronounce the name of the company you should not buy!,0
pockets on the outside to hold the charger and other small items,This fits my husband's macbook very well. It's a .... This fits my husband's macbook very well. It's a snug and safe feeling fit.  It has enough cushion to protect the laptop.  It also has pockets on the outside to hold the charger and other small items.  Well made.,1
"""just plain fun""","Interesting twists on dance/electronic. I first heard of Parisian DJ David Guetta (a fixture in Ibiza and Paris) on the ""Pioneer: The Album Vol. 3"" while living in Spain (Ibiza CDs are EVERYWHERE) with his fabulous single ""Love Don't Let Me Go."" After a long wait  ""Just A Little More Love"" is being released in North America---it's ABOUT TIME!!!. His album is a pleasing blend of styles and moods  all of it intensely danceable. The main highlight for me was not only Guetta's fantastic mixing  but the soulful  searing vocals by gospel phenom Chris Willis (backing vocalist for Amy Grant  CeCe Winans  Twilla Paris  Garth Brooks  and Dolly Parton among others) that made the album come alive. ""Just A Little More Love"" sounds like a throwback to the heyday of the `80s  with elements of funk and disco scattered throughout the driving beats. The album spawned a number of singles  including Ibiza megahit ""Love Don't Let Me Go."" This North American release features an altered tracklist from the European debut  adding the Just For One Day (Heroes) remix from Guetta's new album F*** Me I'm Famous (named after an Ibiza tradition)  cuts several others (Chris Willis' You  Atomic Food)  and substitutes edits for several (Just a Little More Love Elektro edit  Distortion vocal edit  Just a Little More Love Wally Lopez remix edit). The majority of the thirteen songs are vocal-driven  with the exception of 133 and Lately  both instrumentals. Themes range from the noble: social reform (Can't U Feel The Change)  self-empowerment (It's Alright)  love and desire (the campy Sexy 17  People Come  People Go  Give Me Something  the riveting Love Don't Let Me Go  You Are The Music) and just plain fun (Distortion). This North American release is much more geared for club play with the addition of Just For One Day and the edits/remixes. A danceable feast for the ears and refreshingly original. Remember to check out Guetta's new album F*** Me I'm Famous as well.",1
no complaints,Fun trivia game!!!. I love this game! No complaints!,1
definitely recommended,Single disc version of John Denver's Wildlife Concert. Half-of his double-disc Wildlife Concert release  The Best of John Denver Live is a bit of a misnomer.  There are a lot of hits in the 16-song track list  yes.  But a lot of well-known Denver favorites are missing and replaced with less essential deep cuts.  Docked one star for that slight.  Quibbling  I know.  Regardless  it's a nicely packaged representation of the late singer / songwriter's concert program  played by an exceptional band and sung by a late-career John Denver in very good voice  indeed.  Produced for disc by Bob Irwin  who does his usual masterful job.  Not exactly essential  but definitely recommended.,1
good old rock and roll,Gets you foot tapping. Lots of good old rock and roll. If you grew up from the 50's to the 80's you will like listening to these songs.,1
less stressed article,"Creative Recipe Ideas & Fun  Colorful Articles about Life. A real favorite in this magazine is the page of quotes  It is sure to bring a smile or teach you something about life. They also always have cleaning tips  health topics  diet and exercise solutions  true stories  beauty hints  inspirational articles  soul nourishing tips  recipes  recipes and more recipes  family/children  flowers  end of the magazine article to make you think about life  and gardening hints.  If you want to find a cover story fast  they have an ""on our cover"" section in the index. In Every Issue there is a shopper's guide and a recipe index.  The articles are helpful and in the March 2002 issue they had an article on how to be less stressed. They also had an article on PCOS which is apparently more common than we women think.  The beauty sections show you the newest fashion and you can decide if you want to adapt your style to the trends. Always seems rather chic.  Some of the recipes in the March 2002 issue included:  A luscious Lemon Coconut Pound Cake Coconut Macaroons Peanut Butter Oat Bars Baby Cheesecakes - really cute Banana Salsa French Oven Beef Stew Pasta with Shrimp  The recipes are not difficult and seem practical.  Even the advertising in this magazine is colorful and fun.  A Very ""American Gal"" type magazine. Nothing fancy  just real life.  ~The Rebecca Review",1
size,Wrong size. Had to return for a smaller case.,0
